"","Species_A","Species_B","Sum_Value","para_Value","symb_Value"
"72","Aphis fabae","Macrosiphum hellebori",0.0909090909090909,0,0.0909090909090909
"73","Aphis fabae","Macrosiphum rosae",0.0952380952380952,0,0.0952380952380952
"74","Aphis fabae","Macrosiphum sp",0.125,0,0.125
"75","Aphis fabae","Metopolophium dirhodum",0.0666666666666667,0,0.0666666666666667
"76","Aphis fabae","Periphyllus lyropictus",0.0416666666666666,0,0.0416666666666666
"77","Aphis fabae","Periphyllus testudinaceus",0,0,0
"78","Aphis fabae","Rhopalomyzus lonicerae",0.133333333333333,0,0.133333333333333
"79","Aphis fabae","Sitobion avenae",0,0,0
"80","Aphis fabae","Sitobion fragariae",0.0898876404494382,0.0898876404494382,0
"81","Aphis fabae","Tuberculatus sp1",0,0,0
"82","Aphis fabae","Uroleucon ambrosiae",0,0,0
"83","Aphis fabae","Uroleucon escalantii",0,0,0
"84","Aphis fabae","Uroleucon sonchi",0,0,0
"85","Aphis fabae","Uroleucon sp5",0,0,0
"86","Aphis fabae","Utamphorophora humboldti",0.125,0,0.125
"87","Aphis fabae","Wahlgreniella nervata",0,0,0
"88","Aphis ruborum","Aphis sambuci",0,0,0
"89","Aphis ruborum","Cavariella pastinacae",0.166666666666667,0,0.166666666666667
"90","Aphis ruborum","Cavariella theobaldi",0,0,0
"91","Aphis ruborum","Drepanosiphum aceris",0,0,0
"92","Aphis ruborum","Drepanosiphum platanoidis",0,0,0
"93","Aphis ruborum","Hyperomyzus lactucae",0,0,0
"94","Aphis ruborum","Macrosiphoniella artemisiae",0,0,0
"95","Aphis ruborum","Macrosiphum albifrons",0,0,0
"96","Aphis ruborum","Macrosiphum euphorbiae",0,0,0
"97","Aphis ruborum","Macrosiphum funestum",0.333333333333333,0.333333333333333,0
"98","Aphis ruborum","Macrosiphum gei",0,0,0
"99","Aphis ruborum","Macrosiphum hellebori",0,0,0
"100","Aphis ruborum","Macrosiphum rosae",0,0,0
"101","Aphis ruborum","Macrosiphum sp",0,0,0
"102","Aphis ruborum","Metopolophium dirhodum",0,0,0
"103","Aphis ruborum","Periphyllus lyropictus",0,0,0
"104","Aphis ruborum","Periphyllus testudinaceus",0,0,0
"105","Aphis ruborum","Rhopalomyzus lonicerae",0,0,0
"106","Aphis ruborum","Sitobion avenae",0,0,0
"107","Aphis ruborum","Sitobion fragariae",0.363636363636364,0.363636363636364,0
"108","Aphis ruborum","Tuberculatus sp1",0,0,0
"109","Aphis ruborum","Uroleucon ambrosiae",0,0,0
"110","Aphis ruborum","Uroleucon escalantii",0,0,0
"111","Aphis ruborum","Uroleucon sonchi",0,0,0
"112","Aphis ruborum","Uroleucon sp5",0,0,0
"113","Aphis ruborum","Utamphorophora humboldti",0,0,0
"114","Aphis ruborum","Wahlgreniella nervata",0.666666666666667,0,0.666666666666667
"115","Aphis sambuci","Cavariella pastinacae",0.166666666666667,0,0.166666666666667
"116","Aphis sambuci","Cavariella theobaldi",0.25,0,0.25
"117","Aphis sambuci","Drepanosiphum aceris",0,0,0
"118","Aphis sambuci","Drepanosiphum platanoidis",0,0,0
"119","Aphis sambuci","Hyperomyzus lactucae",0,0,0
"120","Aphis sambuci","Macrosiphoniella artemisiae",0,0,0
"121","Aphis sambuci","Macrosiphum albifrons",0.222222222222222,0,0.222222222222222
"122","Aphis sambuci","Macrosiphum euphorbiae",0.04,0,0.04
"123","Aphis sambuci","Macrosiphum funestum",0.142857142857143,0,0.142857142857143
"124","Aphis sambuci","Macrosiphum gei",0.142857142857143,0,0.142857142857143
"125","Aphis sambuci","Macrosiphum hellebori",0.222222222222222,0,0.222222222222222
"126","Aphis sambuci","Macrosiphum rosae",0.25,0,0.25
"127","Aphis sambuci","Macrosiphum sp",0.666666666666667,0,0.666666666666667
"128","Aphis sambuci","Metopolophium dirhodum",0.117647058823529,0,0.117647058823529
"129","Aphis sambuci","Periphyllus lyropictus",0,0,0
"130","Aphis sambuci","Periphyllus testudinaceus",0,0,0
"131","Aphis sambuci","Rhopalomyzus lonicerae",1,0,1
"132","Aphis sambuci","Sitobion avenae",0,0,0
"133","Aphis sambuci","Sitobion fragariae",0,0,0
"134","Aphis sambuci","Tuberculatus sp1",0,0,0
"135","Aphis sambuci","Uroleucon ambrosiae",0,0,0
"136","Aphis sambuci","Uroleucon escalantii",0,0,0
"137","Aphis sambuci","Uroleucon sonchi",0,0,0
"138","Aphis sambuci","Uroleucon sp5",0,0,0
"139","Aphis sambuci","Utamphorophora humboldti",0.666666666666667,0,0.666666666666667
"140","Aphis sambuci","Wahlgreniella nervata",0,0,0
"141","Cavariella pastinacae","Cavariella theobaldi",0.361111111111111,0.25,0.111111111111111
"142","Cavariella pastinacae","Drepanosiphum aceris",0,0,0
"143","Cavariella pastinacae","Drepanosiphum platanoidis",0,0,0
"144","Cavariella pastinacae","Hyperomyzus lactucae",0,0,0
"145","Cavariella pastinacae","Macrosiphoniella artemisiae",0,0,0
"146","Cavariella pastinacae","Macrosiphum albifrons",0.105263157894737,0,0.105263157894737
"147","Cavariella pastinacae","Macrosiphum euphorbiae",0.0333333333333333,0,0.0333333333333333
"148","Cavariella pastinacae","Macrosiphum funestum",0.0833333333333334,0,0.0833333333333334
"149","Cavariella pastinacae","Macrosiphum gei",0.0833333333333334,0,0.0833333333333334
"150","Cavariella pastinacae","Macrosiphum hellebori",0.105263157894737,0,0.105263157894737
"151","Cavariella pastinacae","Macrosiphum rosae",0.111111111111111,0,0.111111111111111
"152","Cavariella pastinacae","Macrosiphum sp",0.153846153846154,0,0.153846153846154
"153","Cavariella pastinacae","Metopolophium dirhodum",0.0740740740740741,0,0.0740740740740741
"154","Cavariella pastinacae","Periphyllus lyropictus",0,0,0
"155","Cavariella pastinacae","Periphyllus testudinaceus",0,0,0
"156","Cavariella pastinacae","Rhopalomyzus lonicerae",0.166666666666667,0,0.166666666666667
"157","Cavariella pastinacae","Sitobion avenae",0,0,0
"158","Cavariella pastinacae","Sitobion fragariae",0,0,0
"159","Cavariella pastinacae","Tuberculatus sp1",0,0,0
"160","Cavariella pastinacae","Uroleucon ambrosiae",0,0,0
"161","Cavariella pastinacae","Uroleucon escalantii",0,0,0
"162","Cavariella pastinacae","Uroleucon sonchi",0,0,0
"163","Cavariella pastinacae","Uroleucon sp5",0,0,0
"164","Cavariella pastinacae","Utamphorophora humboldti",0.153846153846154,0,0.153846153846154
