No,City,Location,Sample category,Sample code,Collection year,Aphid taxa,Wasp taxa,Plant species,Hamiltonella strain,Sequencing method,Sequencing date,Data source
953,London,Parkland Walk,Mummy,Sycamore_Plate4_12,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
954,London,Parkland Walk,Mummy,Sycamore_Plate4_13,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
955,London,Parkland Walk,Mummy,Sycamore_Plate4_16,19/05/2022,Drepanosiphum platanoidis,Trioxys sp. 39,Acer pseudoplatanus,NA,Illumina,2022,This study
956,London,Parkland Walk,Mummy,Sycamore_Plate4_17,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
957,London,Parkland Walk,Mummy,Sycamore_Plate4_18,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
958,London,Parkland Walk,Mummy,Sycamore_Plate4_19,19/05/2022,Drepanosiphum platanoidis,Falciconus pseudoplatani,Acer pseudoplatanus,NA,Illumina,2022,This study
959,London,Parkland Walk,Mummy,Sycamore_Plate4_20,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
960,London,Parkland Walk,Mummy,Sycamore_Plate4_21,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
961,London,Parkland Walk,Mummy,Sycamore_Plate4_22,19/05/2022,Drepanosiphum platanoidis,Falciconus pseudoplatani,Acer pseudoplatanus,NA,Illumina,2022,This study
962,London,Parkland Walk,Mummy,Sycamore_Plate4_23,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
